InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
565366,85099B,JUMBO BAG RED RETROSPOT,10,2011-09-02 14:56:00,2.08,17091.0,United Kingdom,20.8
578852,22835,HOT WATER BOTTLE I AM SO POORLY,1,2011-11-27 11:12:00,4.95,17841.0,United Kingdom,4.95
555562,22041,"RECORD FRAME 7"" SINGLE SIZE ",2,2011-06-05 14:45:00,2.55,17841.0,United Kingdom,5.1
571729,23211,RED ROCKING HORSE HAND PAINTED,144,2011-10-19 09:43:00,1.04,12500.0,Germany,149.76
547109,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-03-21 11:46:00,1.95,12423.0,Belgium,15.6
539642,82581,TOILET METAL SIGN,3,2010-12-20 15:35:00,0.55,15867.0,United Kingdom,1.65
539766,22572,ROCKING HORSE GREEN CHRISTMAS ,1,2010-12-22 11:11:00,0.85,14092.0,United Kingdom,0.85
543900,20728,LUNCH BAG CARS BLUE,10,2011-02-14 12:11:00,1.65,12621.0,Germany,16.5
557260,21788,KIDS RAIN MAC BLUE,24,2011-06-19 10:39:00,0.85,17932.0,United Kingdom,20.4
540374,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,2011-01-06 17:19:00,1.25,15845.0,United Kingdom,15.0
571745,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2011-10-19 10:48:00,2.89,14911.0,EIRE,17.34
552526,85230B,CINNAMON SCENTED VOTIVE CANDLE,24,2011-05-09 16:42:00,0.29,17576.0,United Kingdom,6.959999999999999
562031,23025,DRAWER KNOB VINTAGE GLASS BALL,12,2011-08-01 17:37:00,2.08,16984.0,United Kingdom,24.96
537868,22555,PLASTERS IN TIN STRONGMAN,36,2010-12-08 16:49:00,1.65,12433.0,Norway,59.4
568040,22027,TEA PARTY BIRTHDAY CARD,12,2011-09-23 12:09:00,0.42,12681.0,France,5.04
551776,21774,DECORATIVE CATS BATHROOM BOTTLE,3,2011-05-04 11:23:00,1.25,13268.0,United Kingdom,3.75
577314,23482,PEARLISED IVORY HEART LARGE ,12,2011-11-18 13:23:00,1.65,12444.0,Norway,19.8
550714,22502,PICNIC BASKET WICKER SMALL,4,2011-04-20 11:12:00,5.95,15249.0,United Kingdom,23.8
560998,23110,PARISIENNE KEY CABINET ,2,2011-07-22 14:07:00,5.75,14243.0,United Kingdom,11.5
549597,22569,FELTCRAFT CUSHION BUTTERFLY,4,2011-04-11 11:23:00,3.75,16133.0,United Kingdom,15.0
576604,23500,KEY RING BASEBALL BOOT ASSORTED ,8,2011-11-15 15:23:00,1.25,13435.0,United Kingdom,10.0
552057,23230,WRAP ALPHABET DESIGN,25,2011-05-06 10:34:00,0.42,17504.0,United Kingdom,10.5
579536,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,12,2011-11-30 09:53:00,0.39,12957.0,United Kingdom,4.68
541094,82578,KITCHEN METAL SIGN,2,2011-01-13 13:36:00,0.55,13246.0,United Kingdom,1.1
542662,22301,COFFEE MUG CAT + BIRD DESIGN,6,2011-01-31 12:10:00,2.55,18145.0,United Kingdom,15.3
570010,23517,EMBROIDERED RIBBON REEL REBECCA ,6,2011-10-07 09:42:00,2.89,15297.0,United Kingdom,17.34
566018,21671,RED SPOT CERAMIC DRAWER KNOB,2,2011-09-08 12:42:00,1.45,13137.0,United Kingdom,2.9
550710,22458,CAST IRON HOOK GARDEN FORK,128,2011-04-20 11:05:00,2.69,17450.0,United Kingdom,344.32
581423,21154,RED RETROSPOT OVEN GLOVE ,10,2011-12-08 15:24:00,1.25,16688.0,United Kingdom,12.5
562789,21244,BLUE POLKADOT PLATE ,24,2011-08-09 13:50:00,1.69,14646.0,Netherlands,40.56
547240,22993,SET OF 4 PANTRY JELLY MOULDS,4,2011-03-21 16:32:00,1.25,17585.0,United Kingdom,5.0
566581,22796,PHOTO FRAME 3 CLASSIC HANGING,4,2011-09-13 13:47:00,9.95,16081.0,United Kingdom,39.8
548715,21166,COOK WITH WINE METAL SIGN ,3,2011-04-03 15:22:00,2.08,17758.0,United Kingdom,6.24
567183,23418,LAVENDER TOILETTE BOTTLE,12,2011-09-18 15:32:00,2.08,14769.0,United Kingdom,24.96
574079,22359,GLASS JAR KINGS CHOICE,1,2011-11-02 16:19:00,2.95,17595.0,United Kingdom,2.95
537605,21470,FLOWER VINE RAFFIA FOOD COVER,4,2010-12-07 13:13:00,3.75,16221.0,United Kingdom,15.0
